"Company","Date","Followers"
"(ISC)²",2023-02-10,241729
"(WiMLDS) Women in Machine Learning & Data Science",2020-10-06,6723
"(WiMLDS) Women in Machine Learning & Data Science",2020-10-13,6785
"(WiMLDS) Women in Machine Learning & Data Science",2020-10-15,6797
"(WiMLDS) Women in Machine Learning & Data Science",2020-10-20,6822
"(WiMLDS) Women in Machine Learning & Data Science",2020-10-20,6825
"(WiMLDS) Women in Machine Learning & Data Science",2020-10-21,6832
"(WiMLDS) Women in Machine Learning & Data Science",2020-10-22,6841
"(WiMLDS) Women in Machine Learning & Data Science",2020-10-23,6845
"(WiMLDS) Women in Machine Learning & Data Science",2020-10-25,6853
"(WiMLDS) Women in Machine Learning & Data Science",2020-10-25,6856
"(WiMLDS) Women in Machine Learning & Data Science",2020-10-28,6877
"(WiMLDS) Women in Machine Learning & Data Science",2020-10-28,6878
"(WiMLDS) Women in Machine Learning & Data Science",2020-10-30,6892
"(WiMLDS) Women in Machine Learning & Data Science",2020-11-03,6906
"(WiMLDS) Women in Machine Learning & Data Science",2020-11-06,6927
"(WiMLDS) Women in Machine Learning & Data Science",2020-11-07,6942
"(WiMLDS) Women in Machine Learning & Data Science",2020-11-10,6967
"(WiMLDS) Women in Machine Learning & Data Science",2020-11-12,6985
"(WiMLDS) Women in Machine Learning & Data Science",2020-11-14,7008
"(WiMLDS) Women in Machine Learning & Data Science",2020-11-18,7034
"(WiMLDS) Women in Machine Learning & Data Science",2020-11-21,7070
"(WiMLDS) Women in Machine Learning & Data Science",2020-11-23,7080
"(WiMLDS) Women in Machine Learning & Data Science",2020-11-28,7103
"(WiMLDS) Women in Machine Learning & Data Science",2020-12-03,7124
"(WiMLDS) Women in Machine Learning & Data Science",2020-12-05,7137
"(WiMLDS) Women in Machine Learning & Data Science",2020-12-12,7190
"(WiMLDS) Women in Machine Learning & Data Science",2020-12-15,7209
"(WiMLDS) Women in Machine Learning & Data Science",2020-12-20,7243
"(WiMLDS) Women in Machine Learning & Data Science",2020-12-25,7262
"(WiMLDS) Women in Machine Learning & Data Science",2020-12-29,7285
"(WiMLDS) Women in Machine Learning & Data Science",2021-01-03,7319
"(WiMLDS) Women in Machine Learning & Data Science",2021-01-06,7342
"(WiMLDS) Women in Machine Learning & Data Science",2021-01-11,7391
"(WiMLDS) Women in Machine Learning & Data Science",2021-01-15,7444
"(WiMLDS) Women in Machine Learning & Data Science",2021-01-19,7475
"(WiMLDS) Women in Machine Learning & Data Science",2021-01-25,7526
"(WiMLDS) Women in Machine Learning & Data Science",2021-01-30,7570
"(WiMLDS) Women in Machine Learning & Data Science",2021-01-31,7574
"(WiMLDS) Women in Machine Learning & Data Science",2021-02-03,7612
"(WiMLDS) Women in Machine Learning & Data Science",2021-02-07,7650
"(WiMLDS) Women in Machine Learning & Data Science",2021-02-12,7696
"(WiMLDS) Women in Machine Learning & Data Science",2021-02-17,7728
"(WiMLDS) Women in Machine Learning & Data Science",2021-02-19,7748
"(WiMLDS) Women in Machine Learning & Data Science",2021-02-21,7761
"(WiMLDS) Women in Machine Learning & Data Science",2021-02-25,7809
"(WiMLDS) Women in Machine Learning & Data Science",2021-03-01,7831
"(WiMLDS) Women in Machine Learning & Data Science",2021-03-06,7883
"(WiMLDS) Women in Machine Learning & Data Science",2021-03-10,7958
"(WiMLDS) Women in Machine Learning & Data Science",2021-03-16,8007
"(WiMLDS) Women in Machine Learning & Data Science",2021-03-20,8047
"(WiMLDS) Women in Machine Learning & Data Science",2021-03-24,8083
"(WiMLDS) Women in Machine Learning & Data Science",2021-03-26,8103
"(WiMLDS) Women in Machine Learning & Data Science",2021-03-30,8134
"(WiMLDS) Women in Machine Learning & Data Science",2021-04-06,8183
"(WiMLDS) Women in Machine Learning & Data Science",2021-04-10,8224
"(WiMLDS) Women in Machine Learning & Data Science",2021-04-15,8270
"(WiMLDS) Women in Machine Learning & Data Science",2021-04-20,8294
"(WiMLDS) Women in Machine Learning & Data Science",2021-04-24,8326
"(WiMLDS) Women in Machine Learning & Data Science",2021-04-28,8349
"(WiMLDS) Women in Machine Learning & Data Science",2021-05-03,8388
"(WiMLDS) Women in Machine Learning & Data Science",2021-05-07,8417
"(WiMLDS) Women in Machine Learning & Data Science",2021-05-10,8439
"(WiMLDS) Women in Machine Learning & Data Science",2021-05-14,8471
"(WiMLDS) Women in Machine Learning & Data Science",2021-05-21,8509
"(WiMLDS) Women in Machine Learning & Data Science",2021-05-26,8535
"(WiMLDS) Women in Machine Learning & Data Science",2021-06-02,8562
"(WiMLDS) Women in Machine Learning & Data Science",2021-06-09,8592
"(WiMLDS) Women in Machine Learning & Data Science",2021-06-16,8624
"(WiMLDS) Women in Machine Learning & Data Science",2021-06-21,8650
"(WiMLDS) Women in Machine Learning & Data Science",2021-06-29,8701
"(WiMLDS) Women in Machine Learning & Data Science",2021-07-02,8727
"(WiMLDS) Women in Machine Learning & Data Science",2021-07-04,8736
"(WiMLDS) Women in Machine Learning & Data Science",2021-07-09,8766
"(WiMLDS) Women in Machine Learning & Data Science",2021-07-14,8787
"(WiMLDS) Women in Machine Learning & Data Science",2021-07-18,8797
"(WiMLDS) Women in Machine Learning & Data Science",2021-07-22,8835
"(WiMLDS) Women in Machine Learning & Data Science",2021-08-14,8955
"(WiMLDS) Women in Machine Learning & Data Science",2021-08-26,9005
"(WiMLDS) Women in Machine Learning & Data Science",2021-09-02,9051
"(WiMLDS) Women in Machine Learning & Data Science",2021-09-16,9130
"(WiMLDS) Women in Machine Learning & Data Science",2021-10-17,9278
"(WiMLDS) Women in Machine Learning & Data Science",2021-10-29,9330
"(WiMLDS) Women in Machine Learning & Data Science",2021-11-06,9366
"(WiMLDS) Women in Machine Learning & Data Science",2021-11-20,9445
"(WiMLDS) Women in Machine Learning & Data Science",2021-12-07,9530
"(WiMLDS) Women in Machine Learning & Data Science",2021-12-14,9564
"(WiMLDS) Women in Machine Learning & Data Science",2021-12-20,9594
"(WiMLDS) Women in Machine Learning & Data Science",2021-12-26,9613
"(WiMLDS) Women in Machine Learning & Data Science",2021-12-30,9629
"(WiMLDS) Women in Machine Learning & Data Science",2021-12-31,9628
"(WiMLDS) Women in Machine Learning & Data Science",2022-01-03,9637
"(WiMLDS) Women in Machine Learning & Data Science",2022-01-04,9643
"(WiMLDS) Women in Machine Learning & Data Science",2022-01-06,9657
"(WiMLDS) Women in Machine Learning & Data Science",2022-01-07,9664
"(WiMLDS) Women in Machine Learning & Data Science",2022-01-10,9679
"(WiMLDS) Women in Machine Learning & Data Science",2022-01-14,9714
"(WiMLDS) Women in Machine Learning & Data Science",2022-01-18,9737
"(WiMLDS) Women in Machine Learning & Data Science",2022-01-27,9828
"(WiMLDS) Women in Machine Learning & Data Science",2022-02-01,9861
"(WiMLDS) Women in Machine Learning & Data Science",2022-02-07,9923
"(WiMLDS) Women in Machine Learning & Data Science",2022-02-10,9948
"(WiMLDS) Women in Machine Learning & Data Science",2022-02-16,10003
"(WiMLDS) Women in Machine Learning & Data Science",2022-02-20,10034
"(WiMLDS) Women in Machine Learning & Data Science",2022-02-23,10060
"(WiMLDS) Women in Machine Learning & Data Science",2022-02-26,10089
"(WiMLDS) Women in Machine Learning & Data Science",2022-03-03,10128
"(WiMLDS) Women in Machine Learning & Data Science",2022-03-07,10163
"(WiMLDS) Women in Machine Learning & Data Science",2022-03-31,10470
"(WiMLDS) Women in Machine Learning & Data Science",2022-04-09,10545
"(WiMLDS) Women in Machine Learning & Data Science",2022-04-11,10554
"(WiMLDS) Women in Machine Learning & Data Science",2022-04-13,10570
"(WiMLDS) Women in Machine Learning & Data Science",2022-04-19,10615
"(WiMLDS) Women in Machine Learning & Data Science",2022-04-25,10669
"(WiMLDS) Women in Machine Learning & Data Science",2022-04-29,10706
"(WiMLDS) Women in Machine Learning & Data Science",2022-05-05,10742
"(WiMLDS) Women in Machine Learning & Data Science",2022-05-25,10906
"(WiMLDS) Women in Machine Learning & Data Science",2022-05-27,10929
"(WiMLDS) Women in Machine Learning & Data Science",2022-05-30,10949
"(WiMLDS) Women in Machine Learning & Data Science",2022-06-03,10981
"(WiMLDS) Women in Machine Learning & Data Science",2022-06-07,11015
"(WiMLDS) Women in Machine Learning & Data Science",2022-06-08,11015
