"Company","Date","Followers"
"Q8",2021-02-19,19495
"Q8",2021-03-06,19609
"Q8",2021-03-26,19763
"Q8 Kuwait Petroleum Italia S.p.A.",2021-02-19,19416
"Q8 Kuwait Petroleum Italia S.p.A.",2021-03-06,19511
"Q8 Kuwait Petroleum Italia S.p.A.",2021-03-26,19823
"Qatar Computing Research Institute",2021-07-22,8524
"Qatar Computing Research Institute",2021-08-14,8591
"Qatar Computing Research Institute",2021-08-26,8642
"Qatar Computing Research Institute",2021-09-02,8657
"Qatar Computing Research Institute",2021-09-16,8699
"Qatar Computing Research Institute",2021-10-17,8830
"Qatar Computing Research Institute",2021-10-29,8878
"Qatar Computing Research Institute",2021-11-06,8914
"Qatar Computing Research Institute",2021-11-20,9017
"Qatar Computing Research Institute",2021-12-07,9182
"Qatar Computing Research Institute",2021-12-14,9236
"Qatar Computing Research Institute",2021-12-20,9254
"Qatar Computing Research Institute",2021-12-26,9275
"Qatar Computing Research Institute",2021-12-30,9284
"Qatar Computing Research Institute",2021-12-31,9289
"Qatar Computing Research Institute",2022-01-03,9299
"Qatar Computing Research Institute",2022-01-04,9305
"Qatar Computing Research Institute",2022-01-06,9312
"Qatar Computing Research Institute",2022-01-07,9323
"Qatar Computing Research Institute",2022-01-10,9334
"Qatar Computing Research Institute",2022-01-14,9366
"Qatar Computing Research Institute",2022-01-18,9382
"Qatar Computing Research Institute",2022-01-27,9434
"Qatar Computing Research Institute",2022-02-01,9466
"Qatar Computing Research Institute",2022-02-07,9494
"Qatar Computing Research Institute",2022-02-10,9508
"Qatar Computing Research Institute",2022-02-12,9508
"Qatar Computing Research Institute",2022-02-16,9526
"Qatar Computing Research Institute",2022-02-26,9645
"Qatar Computing Research Institute",2022-03-03,9686
"Qatar Computing Research Institute",2022-03-15,9763
"Qatar Computing Research Institute",2022-03-20,9793
"Qatar Computing Research Institute",2022-03-29,9837
"Qatar Computing Research Institute",2022-04-09,9933
"Qatar Computing Research Institute",2022-04-11,9947
"Qatar Computing Research Institute",2022-04-13,9959
"Qatar Computing Research Institute",2022-04-19,10005
"Qatar Computing Research Institute",2022-04-25,10040
"Qatar Computing Research Institute",2022-04-29,10083
"Qatar Computing Research Institute",2022-05-05,10105
"Qatar Computing Research Institute",2022-05-22,10229
"Qatar Computing Research Institute",2022-05-23,10234
"Qatar Computing Research Institute",2022-05-30,10291
"Qatar Computing Research Institute",2022-06-01,10301
"Qatar Computing Research Institute",2022-06-03,10319
"Qatar Computing Research Institute",2022-06-11,10387
"Qatar Computing Research Institute",2022-06-13,10404
"Qatar Computing Research Institute",2022-06-15,10432
"Qatar Computing Research Institute",2022-06-20,10468
"Qatar Computing Research Institute",2022-06-22,10488
"Qatar Computing Research Institute",2022-06-23,10492
"Qatar Computing Research Institute",2022-06-30,10529
"Qatar Computing Research Institute",2022-07-01,10535
"Qatar Computing Research Institute",2022-07-02,10539
"Qatar Computing Research Institute",2022-07-04,10550
"Qatar Computing Research Institute",2022-07-05,10553
"Qatar Computing Research Institute",2022-07-09,10573
"Qatar Computing Research Institute",2022-07-12,10582
"Qatar Computing Research Institute",2022-07-18,10606
"Qatar Computing Research Institute",2022-07-21,10620
"Qatar Computing Research Institute",2022-07-23,10640
"Qatar Computing Research Institute",2022-07-25,10652
"Qatar Computing Research Institute",2022-08-01,10695
"Qatar Computing Research Institute",2022-08-08,10748
"Qatar Computing Research Institute",2022-08-16,10799
"Qatar Computing Research Institute",2022-08-20,10819
"Qatar Computing Research Institute",2022-08-25,10852
"Qatar Computing Research Institute",2022-08-28,10874
"Qatar Computing Research Institute",2022-09-01,10899
"Qatar Computing Research Institute",2022-09-07,10927
"Qatar Computing Research Institute",2022-09-10,10946
"Qatar Computing Research Institute",2022-09-16,10970
"Qatar Computing Research Institute",2022-09-22,11005
"Qatar Computing Research Institute",2022-09-29,11070
"Qatar Computing Research Institute",2022-10-03,11107
"Qatar Computing Research Institute",2022-10-09,11126
"Qatar Computing Research Institute",2022-10-12,11137
"Qatar Computing Research Institute",2022-10-16,11156
"QHotels",2021-05-10,9681
"Qualtrics",2020-10-16,135941
"Qualtrics",2020-10-20,136180
"Qualtrics",2020-10-21,136272
"Qualtrics",2020-10-23,136416
"Qualtrics",2020-10-25,136524
"Qualtrics",2020-10-25,136593
"Qualtrics",2020-10-28,136755
"Qualtrics",2020-10-30,137057
"Qualtrics",2020-11-03,137272
"Qualtrics",2020-11-06,137475
"Qualtrics",2020-11-10,137673
"Qualtrics",2020-11-14,137890
"Qualtrics",2020-11-18,138095
"Qualtrics",2020-11-23,138433
"Qualtrics",2020-11-28,138617
"Qualtrics",2020-12-03,138846
"Qualtrics",2020-12-05,138961
"Qualtrics",2020-12-12,139293
"Qualtrics",2020-12-15,139412
"Qualtrics",2020-12-20,139670
"Qualtrics",2020-12-25,139854
"Qualtrics",2020-12-29,140034
"Qualtrics",2021-01-03,140245
"Qualtrics",2021-01-06,140444
"Qualtrics",2021-01-11,140698
"Qualtrics",2021-01-15,142247
"Qualtrics",2021-01-19,142695
"Qualtrics",2021-01-25,143245
"Qualtrics",2021-01-30,144095
"Qualtrics",2021-01-31,144211
"Qualtrics",2021-02-03,144567
"Qualtrics",2021-02-07,145023
"Qualtrics",2021-02-12,145580
"Qualtrics",2021-02-17,145962
"Qualtrics",2021-02-21,146358
"Qualtrics",2021-02-25,146730
"Qualtrics",2021-03-01,147111
"Qualtrics",2021-03-06,147616
"Qualtrics",2021-03-10,147882
"Qualtrics",2021-03-16,148286
"Qualtrics",2021-03-20,148781
"Qualtrics",2021-03-24,149053
"Qualtrics",2021-03-30,149483
"Qualtrics",2021-04-06,149852
"Qualtrics",2021-04-10,150333
"Qualtrics",2021-04-15,150679
"Qualtrics",2021-04-20,151057
"Qualtrics",2021-04-24,151371
"Qualtrics",2021-04-28,151626
"Qualtrics",2021-05-03,151954
"Qualtrics",2021-05-07,152307
"Qualtrics",2021-05-10,152456
"Qualtrics",2021-05-14,152789
"Qualtrics",2021-05-21,153227
"Qualtrics",2021-05-26,153536
"Qualtrics",2021-06-02,154014
"Qualtrics",2021-06-09,154694
"Qualtrics",2021-06-16,155110
"Qualtrics",2021-06-21,155468
"Qualtrics",2021-06-29,156096
"Qualtrics",2021-07-02,156404
"Qualtrics",2021-07-04,156499
"Qualtrics",2021-07-09,156959
"Qualtrics",2021-07-14,157363
"Qualtrics",2021-07-18,157676
"Qualtrics",2021-07-22,158143
"Qualtrics",2021-08-14,160152
"Qualtrics",2021-08-26,161270
"Qualtrics",2021-09-02,161891
"Qualtrics",2021-09-16,163207
"Qualtrics",2021-10-17,166198
"Qualtrics",2021-10-29,167403
"Qualtrics",2021-11-06,168053
"Qualtrics",2021-11-20,169473
"Qualtrics",2021-12-07,170814
"Qualtrics",2021-12-14,171495
"Qualtrics",2021-12-20,171996
"Qualtrics",2021-12-26,172373
"Qualtrics",2021-12-30,172600
"Qualtrics",2021-12-31,172661
"Qualtrics",2022-01-03,172778
"Qualtrics",2022-01-04,172932
"Qualtrics",2022-01-06,173150
"Qualtrics",2022-01-07,173341
"Qualtrics",2022-01-10,173569
"Qualtrics",2022-01-14,174211
"Qualtrics",2022-01-18,174591
"Qualtrics",2022-01-27,175587
"Qualtrics",2022-02-01,176119
"Qualtrics",2022-02-07,176866
"Qualtrics",2022-02-10,177365
"Qualtrics",2022-02-12,177633
"Qualtrics",2022-02-16,178292
"Qualtrics",2022-02-26,179688
"Qualtrics",2022-03-07,180675
"Qualtrics",2022-03-15,181594
"Qualtrics",2022-03-20,182213
"Qualtrics",2022-03-31,183762
"Qualtrics",2022-04-09,185462
"Qualtrics",2022-04-11,185602
"Qualtrics",2022-04-13,185836
"Qualtrics",2022-04-19,186451
"Qualtrics",2022-04-25,187206
"Qualtrics",2022-05-05,179688
"Qualtrics",2022-05-12,189140
"Qualtrics",2022-05-22,190264
"Qualtrics",2022-05-23,190341
"Qualtrics",2022-05-25,190549
"Qualtrics",2022-05-27,190732
"Qualtrics",2022-05-30,190887
"Qualtrics",2022-06-03,191182
"Qualtrics",2022-06-07,191491
"Qualtrics",2022-06-08,191491
"Qualtrics",2022-06-11,191881
"Qualtrics",2022-06-13,191970
"Qualtrics",2022-06-15,192176
"Qualtrics",2022-06-16,192299
"Qualtrics",2022-06-20,192532
"Qualtrics",2022-06-22,192758
"Qualtrics",2022-06-23,192833
"Qualtrics",2022-06-24,192983
"Qualtrics",2022-06-26,193091
"Qualtrics",2022-06-28,193237
"Qualtrics",2022-06-30,193401
"Qualtrics",2022-07-01,193512
"Qualtrics",2022-07-02,193541
"Qualtrics",2022-07-04,193650
"Qualtrics",2022-07-05,193756
"Qualtrics",2022-07-09,194105
"Qualtrics",2022-07-12,194359
"Qualtrics",2022-07-18,194870
"Qualtrics",2022-07-21,195378
"Qualtrics",2022-07-23,195591
"Qualtrics",2022-07-25,195736
"Qualtrics",2022-08-01,196383
"Qualtrics",2022-08-08,197047
"Qualtrics",2022-08-16,197777
"Qualtrics",2022-08-20,198231
"Qualtrics",2022-08-25,198618
"Qualtrics",2022-08-28,198899
"Qualtrics",2022-09-01,199402
"Qualtrics",2022-09-07,199869
"Qualtrics",2022-09-10,200195
"Qualtrics",2022-09-16,200860
"Qualtrics",2022-09-22,201435
"Qualtrics",2022-09-29,202145
"Qualtrics",2022-10-03,202534
"Qualtrics",2022-10-09,203379
"Qualtrics",2022-10-12,203764
"Qualtrics",2022-10-16,204177
"Quansight",2020-10-19,669
"Quansight",2020-10-20,675
"Quansight",2020-10-25,694
"Quansight",2020-10-28,695
"Quansight",2020-10-30,697
"Quansight",2020-11-03,702
"Quansight",2020-11-06,706
"Quansight",2020-11-10,710
"Quansight",2020-11-14,714
"Quansight",2020-11-18,718
"Quansight",2020-11-23,718
"Quansight",2020-11-28,722
"Quansight",2020-12-03,724
"Quansight",2020-12-05,724
"Quansight",2020-12-12,729
"Quansight",2020-12-15,729
"Quansight",2020-12-20,730
"Quansight",2020-12-25,733
"Quansight",2020-12-29,735
"Quansight",2021-01-03,735
"Quansight",2021-01-06,740
"Quansight",2021-01-11,744
"Quansight",2021-01-15,746
"Quansight",2021-01-19,745
"Quansight",2021-01-25,746
"Quansight",2021-01-30,749
"Quansight",2021-01-31,750
"Quansight",2021-02-03,752
"Quansight",2021-02-07,756
"Quansight",2021-02-12,762
"Quansight",2021-02-17,767
"Quansight",2021-02-21,773
"Quansight",2021-02-25,778
"Quansight",2021-03-01,781
"Quansight",2021-03-06,785
"Quansight",2021-03-10,787
"Quansight",2021-03-16,790
"Quansight",2021-03-20,791
"Quansight",2021-03-24,819
"Quansight",2021-03-30,833
"Quansight",2021-04-06,837
"Quansight",2021-04-10,839
"Quansight",2021-04-15,841
"Quansight",2021-04-20,845
"Quansight",2021-04-24,848
