"Region1","Region2","Location","Date","Followers"
"..","..","#belo horizonte","2021-04-21",928
"..","..","#bengaluru","2020-10-14",7920
"..","..","#bengaluru","2020-10-28",7946
"..","..","#bengaluru","2020-12-08",7984
"..","..","#bengaluru","2021-04-21",8214
"..","..","#bergen","2020-12-09",123
"..","..","#bergen","2021-04-21",132
"..","..","#berlin","2020-10-07",7271
"..","..","#berlin","2020-10-14",7288
"..","..","#berlin","2020-10-17",7290
"..","..","#berlin","2020-10-26",7303
"..","..","#berlin","2020-12-07",7355
"..","..","#berlin","2021-01-16",7394
"..","..","#berlin","2021-04-21",7523
"..","..","#bielefeld","2020-10-26",53
"..","..","#bielefeld","2020-12-07",54
"..","..","#bielefeld","2021-04-21",62
"..","..","#bilbao","2020-10-26",338
"..","..","#bilbao","2020-12-07",348
"..","..","#bilbao","2021-04-21",374
"..","..","#bilbao","2021-07-14",385
"..","..","#birmingham","2020-10-17",4435
"..","..","#birmingham","2020-12-09",4452
"..","..","#birmingham","2021-04-21",4504
"..","..","#bishkek","2020-12-09",125
"..","..","#bishkek","2021-04-21",124
"..","..","#bochum","2020-10-26",45
"..","..","#bochum","2020-12-07",49
"..","..","#bochum","2021-04-21",62
"..","..","#bogota","2020-12-08",14874
"..","..","#bogota","2021-04-21",14961
"..","..","#bolivia","2020-10-18",4962
"..","..","#bologna","2020-10-26",556
"..","..","#bologna","2020-12-07",573
"..","..","#bologna","2021-04-21",621
"..","..","#bonn","2020-10-26",125
"..","..","#bonn","2020-12-07",130
"..","..","#bonn","2021-04-21",142
"..","..","#bordeaux","2020-12-09",13606
"..","..","#bordeaux","2021-04-21",13739
"..","..","#boston","2020-12-06",5966
"..","..","#boston","2021-01-17",5996
"..","..","#boston","2021-04-21",6036
"..","..","#botswana","2020-10-15",1038
"..","..","#bradford","2020-10-17",159
"..","..","#brasil","2020-10-09",15204
"..","..","#brasil","2020-10-18",15208
"..","..","#brasilia","2020-12-08",364
"..","..","#brasilia","2021-04-21",386
"..","..","#bratislava","2020-10-26",164
"..","..","#bratislava","2020-12-07",171
"..","..","#bratislava","2021-04-21",179
"..","..","#bremen","2020-10-26",151
"..","..","#bremen","2020-12-07",156
"..","..","#bremen","2021-04-21",189
"..","..","#brest","2020-12-09",425
"..","..","#brest","2021-04-21",467
"..","..","#brighton","2020-12-09",330
"..","..","#brighton","2021-04-21",351
"..","..","#brisbane","2020-10-18",5650
"..","..","#brisbane","2020-12-09",5669
"..","..","#brisbane","2021-04-21",5685
"..","..","#bristol","2020-12-09",2702
"..","..","#bristol","2021-04-21",2744
"..","..","#brittany","2020-10-26",20
"..","..","#brittany","2020-12-07",21
"..","..","#brittany","2021-04-21",24
"..","..","#brno","2020-10-26",194
"..","..","#brno","2020-12-07",196
"..","..","#brno","2021-04-21",207
"..","..","#bronx","2021-01-17",94
"..","..","#brussels","2020-10-15",3700
"..","..","#brussels","2020-12-09",3718
"..","..","#brussels","2021-04-21",3756
"..","..","#bruxelles","2020-10-15",592
"..","..","#bucharest","2020-10-26",947
"..","..","#bucharest","2020-12-07",948
"..","..","#bucharest","2021-04-21",961
"..","..","#budapest","2020-10-17",841
"..","..","#budapest","2020-10-26",845
"..","..","#budapest","2020-12-07",852
"..","..","#budapest","2021-04-21",873
"..","..","#buenos aires","2020-12-08",9873
"..","..","#buenos aires","2021-04-21",9894
"..","..","#buenosaires","2020-10-18",9861
"..","..","#burgenland","2020-10-26",7
"..","..","#burgenland","2020-12-07",8
"..","..","#burgenland","2021-04-21",11
"..","..","#burgundy","2020-10-26",198
"..","..","#burgundy","2020-12-07",200
"..","..","#burgundy","2021-04-21",210
"..","..","#burundi","2020-10-18",246
"..","..","#busan","2020-10-28",33
"..","..","#busan","2020-12-08",34
"..","..","#busan","2021-04-21",42
"..","..","#busan","2021-07-14",43
"..","..","#bydgoszcz","2020-10-26",82
"..","..","#bydgoszcz","2020-12-07",85
"..","..","#bydgoszcz","2021-04-21",90
"..","..","#c„≥rdoba","2020-10-26",403
"..","..","#c„≥rdoba","2020-12-07",3292
"..","..","#c„≥rdoba","2021-04-21",3346
"..","..","#cairo","2020-10-14",7871
"..","..","#cairo","2020-12-08",7881
"..","..","#cairo","2021-04-21",7933
"..","..","#cairo","2021-07-09",7970
"..","..","#calabria","2020-10-26",199
"..","..","#calabria","2020-12-07",211
"..","..","#calabria","2021-04-21",246
"..","..","#calais","2020-12-09",56
"..","..","#calais","2021-04-21",65
"..","..","#calgary","2020-12-08",6112
"..","..","#calgary","2021-04-21",6141
"..","..","#cali","2020-12-08",4390
"..","..","#cali","2021-04-21",4513
"..","..","#calicut","2020-10-09",85
"..","..","#calicut","2020-10-18",85
"..","..","#california","2020-10-09",4507
"..","..","#california","2020-10-15",4516
"..","..","#california","2020-12-06",4614
"..","..","#california","2021-04-21",4822
"..","..","#cambridge","2020-12-09",1455
"..","..","#cambridge","2021-04-21",1518
"..","..","#campania","2020-10-26",165
"..","..","#campania","2020-12-07",170
"..","..","#campania","2021-04-21",201
"..","..","#canada","2020-10-09",57359
"..","..","#canada","2020-10-18",57628
"..","..","#canberra","2020-12-09",2506
"..","..","#canberra","2021-04-21",2524
"..","..","#cantabria","2020-10-26",175
"..","..","#cantabria","2020-10-26",175
"..","..","#cantabria","2020-12-07",180
"..","..","#cantabria","2021-04-21",204
"..","..","#cape town","2020-12-09",7777
"..","..","#cape town","2021-04-21",7793
"..","..","#capetown","2020-10-15",7763
"..","..","#caracas","2020-12-08",9925
"..","..","#caracas","2021-04-21",9987
"..","..","#cardiff","2020-10-06",644
"..","..","#cardiff","2020-10-17",650
"..","..","#cardiff","2020-12-09",666
"..","..","#cardiff","2021-01-16",673
"..","..","#cardiff","2021-04-21",693
"..","..","#carinthia","2020-10-26",6
"..","..","#carinthia","2020-12-07",6
"..","..","#carinthia","2021-04-21",11
"..","..","#casablanca","2020-10-18",21907
"..","..","#casablanca","2020-12-08",21999
"..","..","#casablanca","2021-04-21",22141
"..","..","#catalonia","2020-10-26",51
"..","..","#catalonia","2020-12-07",50
"..","..","#catalonia","2021-04-21",52
"..","..","#catania","2020-10-26",167
"..","..","#catania","2020-12-07",169
"..","..","#catania","2021-04-21",182
"..","..","#ceuta","2020-10-26",18
"..","..","#ceuta","2020-12-07",19
"..","..","#ceuta","2021-04-21",20
"..","..","#changsha","2020-10-28",27
"..","..","#changsha","2020-12-08",27
"..","..","#changsha","2021-04-21",31
"..","..","#charlotte","2020-12-06",2078
"..","..","#charlotte","2021-04-21",2133
"..","..","#chengdu","2020-10-28",153
"..","..","#chengdu","2020-12-08",153
"..","..","#chengdu","2021-04-21",166
"..","..","#chennai","2020-10-09",9655
"..","..","#chennai","2020-10-14",9667
"..","..","#chennai","2020-10-28",9694
"..","..","#chennai","2020-12-08",9779
"..","..","#chennai","2021-04-21",10143
"..","..","#chicago","2020-10-06",11338
"..","..","#chicago","2020-10-09",11341
"..","..","#chicago","2020-10-18",11349
"..","..","#chicago","2020-12-06",11384
"..","..","#chicago","2021-01-17",11422
"..","..","#chicago","2021-04-21",11455
"..","..","#chicago","2021-07-13",11513
"..","..","#chisinau","2020-12-09",67
"..","..","#chisinau","2021-04-21",68
"..","..","#chittagong","2020-10-28",122
"..","..","#chittagong","2020-12-08",126
"..","..","#chittagong","2021-04-21",134
"..","..","#chongqing","2020-10-28",81
"..","..","#chongqing","2020-12-08",81
"..","..","#chongqing","2021-04-21",87
"..","..","#christchurch","2020-12-09",530
"..","..","#christchurch","2021-04-21",536
"..","..","#cincinnati","2020-12-07",3709
"..","..","#cincinnati","2021-04-21",3724
"..","..","#cleveland","2020-12-06",914
"..","..","#cleveland","2021-04-21",950
"..","..","#cluj","2020-12-07",349
"..","..","#cluj","2021-04-21",349
"..","..","#cluj-napoca","2020-10-26",0
"..","..","#coimbra","2020-12-09",119
"..","..","#coimbra","2021-04-21",124
"..","..","#cologne","2020-10-26",237
"..","..","#cologne","2020-12-07",241
"..","..","#cologne","2021-04-21",260
"..","..","#colombo","2020-12-09",836
"..","..","#colombo","2021-04-21",843
"..","..","#colorado","2020-12-06",2431
"..","..","#colorado","2021-04-21",2496
"..","..","#columbus","2020-12-06",568
"..","..","#columbus","2021-04-21",596
"..","..","#conakry","2020-12-09",3912
"..","..","#conakry","2021-04-21",3938
"..","..","#concepcion","2020-12-08",524
"..","..","#concepcion","2021-04-21",543
"..","..","#connecticut","2020-12-06",366
"..","..","#connecticut","2021-04-21",388
"..","..","#constanËõa","2020-10-26",54
"..","..","#constanËõa","2020-12-07",55
"..","..","#constanËõa","2021-04-21",55
"..","..","#copenhagen","2020-10-17",857
"..","..","#copenhagen","2020-10-26",865
"..","..","#copenhagen","2020-12-07",885
"..","..","#copenhagen","2021-04-21",947
"..","..","#copenhagen","2021-07-14",981
"..","..","#copenhagen","2021-07-14",981
"..","..","#cordoba","2020-12-08",3293
"..","..","#cordoba","2021-04-21",3346
"..","..","#cork","2020-10-17",2598
"..","..","#corsica","2020-10-26",88
"..","..","#corsica","2020-12-07",96
"..","..","#corsica","2021-04-21",120
"..","..","#craiova","2020-10-26",15
"..","..","#craiova","2020-12-07",15
"..","..","#craiova","2021-04-21",16
"..","..","#crete","2020-10-26",184
"..","..","#crete","2020-10-26",184
"..","..","#crete","2020-12-07",186
"..","..","#crete","2021-04-21",198
"..","..","#curitiba","2020-12-08",3429
"..","..","#curitiba","2021-04-21",3502
"..","..","#cyprus","2020-10-26",3593
"..","..","#cyprus","2020-12-07",3611
"..","..","#cyprus","2021-04-21",3711
"..","..","#d„ºsseldorf","2020-10-27",219
"..","..","#d„ºsseldorf","2020-12-07",157
"..","..","#d„ºsseldorf","2021-04-21",169
"..","..","#daegu","2020-10-28",7
"..","..","#daegu","2020-12-08",7
"..","..","#daegu","2021-04-21",8
"..","..","#dakar","2020-10-14",8134
"..","..","#dakar","2020-12-09",8177
"..","..","#dakar","2021-04-21",8290
"..","..","#dallas","2020-10-18",4984
"..","..","#dallas","2020-12-06",5003
"..","..","#dallas","2021-01-17",5023
"..","..","#dallas","2021-04-21",5046
"..","..","#damascus","2020-12-09",478
"..","..","#damascus","2021-04-21",487
"..","..","#dammam","2020-12-09",769
"..","..","#dammam","2021-04-21",878
"..","..","#dar es salaam","2020-12-09",513
"..","..","#dar es salaam","2021-04-21",526
"..","..","#debrecen","2020-12-09",41
"..","..","#debrecen","2021-04-21",44
"..","..","#delaware","2020-12-06",478
"..","..","#delaware","2021-04-21",499
"..","..","#delhi","2020-10-28",33667
"..","..","#delhi","2020-12-08",37238
"..","..","#delhi","2021-04-21",58052
"..","..","#denhaag","2020-10-27",322
"..","..","#denhaag","2020-12-07",336
"..","..","#denhaag","2021-04-21",349
"..","..","#denver","2020-12-06",2236
"..","..","#denver","2021-04-21",2285
"..","..","#detroit","2020-12-06",4018
"..","..","#detroit","2021-01-17",4029
"..","..","#detroit","2021-04-21",4049
"..","..","#dhaka","2020-10-14",8660
"..","..","#dhaka","2020-10-28",8661
"..","..","#dhaka","2020-12-08",8663
"..","..","#dhaka","2021-04-21",8674
"..","..","#doha","2021-07-09",8830
"..","..","#dongguan","2020-10-28",30
"..","..","#dongguan","2020-12-08",31
"..","..","#dongguan","2021-04-21",31
"..","..","#dortmund","2020-10-18",88
"..","..","#dortmund","2020-10-27",89
"..","..","#dortmund","2020-12-07",92
"..","..","#dortmund","2021-04-21",101
"..","..","#douala","2020-12-09",3649
"..","..","#douala","2021-04-21",3664
"..","..","#dresden","2020-10-27",150
"..","..","#dresden","2020-12-07",155
"..","..","#dresden","2021-04-21",185
"..","..","#dubai","2020-10-18",841906
"..","..","#dubai","2020-10-28",842876
"..","..","#dubai","2020-12-08",846862
"..","..","#dubai","2021-04-21",863263
"..","..","#dublin","2020-10-06",7241
"..","..","#dublin","2020-10-09",7242
"..","..","#dublin","2020-10-17",7253
"..","..","#dublin","2020-10-17",7253
"..","..","#dublin","2020-10-27",7258
"..","..","#dublin","2020-12-07",7275
"..","..","#dublin","2021-01-16",7312
"..","..","#dublin","2021-04-21",7364
"..","..","#dublin","2021-07-09",7411
"..","..","#dublin","2021-07-14",7412
"..","..","#duisburg","2020-10-27",35
"..","..","#duisburg","2020-12-07",40
"..","..","#duisburg","2021-04-21",53
"..","..","#dundee","2020-12-09",228
"..","..","#dundee","2021-04-21",244
"..","..","#durban","2020-12-09",278
"..","..","#durban","2021-04-21",289
"..","..","#edinburgh","2020-10-11",2437
"..","..","#edinburgh","2020-10-17",2441
"..","..","#edinburgh","2020-12-09",2454
"..","..","#edinburgh","2021-01-16",2466
"..","..","#edinburgh","2021-04-21",2483
"..","..","#edmonton","2020-12-08",2835
"..","..","#edmonton","2021-04-21",2868
"..","..","#egypt","2021-07-09",45546
"..","..","#elpaso","2020-12-06",438
"..","..","#elpaso","2021-04-21",446
"..","..","#essen","2020-10-27",66
"..","..","#essen","2020-12-07",72
"..","..","#essen","2021-04-21",89
"..","..","#eswatini","2020-10-18",340
"..","..","#extremadura","2020-10-27",193
"..","..","#extremadura","2020-12-07",200
"..","..","#extremadura","2021-04-21",220
"..","..","#faisalabad","2020-10-28",382
"..","..","#faisalabad","2020-12-08",390
"..","..","#faisalabad","2021-04-21",425
"..","..","#fes","2020-12-09",131
"..","..","#fes","2021-04-21",145
"..","..","#firenze","2020-12-08",302
"..","..","#firenze","2021-04-21",327
"..","..","#florence","2020-10-27",183
"..","..","#florence","2020-12-07",188
"..","..","#florence","2021-04-21",206
"..","..","#florida","2020-10-11",5256
"..","..","#florida","2020-10-18",5267
"..","..","#florida","2020-12-06",5311
"..","..","#florida","2021-04-21",5494
"..","..","#fortaleza","2020-12-08",677
"..","..","#fortaleza","2021-04-21",733
"..","..","#fortworth","2020-12-06",379
"..","..","#fortworth","2021-04-21",397
"..","..","#foshan","2020-10-28",26
"..","..","#foshan","2020-12-08",26
"..","..","#foshan","2021-04-21",26
"..","..","#frankfurt","2020-10-17",992
"..","..","#frankfurt","2020-10-27",997
"..","..","#frankfurt","2020-12-07",1016
"..","..","#frankfurt","2021-04-21",1111
"..","..","#fresno","2020-12-06",123
"..","..","#fresno","2021-04-21",128
"..","..","#gabon","2020-10-18",4183
"..","..","#gaborone","2020-12-09",57
"..","..","#gaborone","2021-04-21",59
"..","..","#gaborone","2021-07-14",59
"..","..","#galaËõi","2020-10-27",8
"..","..","#galaËõi","2020-12-07",8
"..","..","#galaËõi","2021-04-21",8
"..","..","#galicia","2020-10-14",703
"..","..","#galicia","2020-10-27",712
"..","..","#galicia","2020-10-27",712
"..","..","#galicia","2020-12-07",727
"..","..","#galicia","2021-04-21",791
"..","..","#galway","2020-10-14",668
"..","..","#gdaÂÑsk","2020-10-27",100
"..","..","#gdaÂÑsk","2020-12-07",141
"..","..","#gdaÂÑsk","2021-04-21",150
"..","..","#geneve","2020-12-09",516
"..","..","#geneve","2021-04-21",558
"..","..","#genoa","2020-10-27",74
"..","..","#genoa","2020-12-07",74
"..","..","#genoa","2021-04-21",81
"..","..","#genova","2020-12-08",290
"..","..","#genova","2021-04-21",309
"..","..","#georgetown","2020-12-08",231
"..","..","#georgetown","2021-04-21",239
"..","..","#georgia","2020-12-06",3107
"..","..","#georgia","2021-04-21",3206
"..","..","#germany","2020-10-11",9947
"..","..","#germany","2020-10-18",10034
"..","..","#gibraltar","2021-01-16",407
"..","..","#glasgow","2020-10-12",2893
"..","..","#glasgow","2020-10-18",2894
"..","..","#glasgow","2020-12-09",2911
"..","..","#glasgow","2021-04-21",2941
