"X1","X2","X3"
"QuantumBlack AI by McKinsey",2022-05-27,168098
"WellClever",2022-05-27,122
"Oman Data Science Organization ",2022-05-27,117
"Bhutan Data Scientists",2022-05-27,48
"DATA MANSA",2022-05-27,154
"EuroPython",2022-05-27,721
"AI Awards Ireland",2022-05-27,2457
"Xanadu Consultancy",2022-05-27,2824
"Klue",2022-05-27,12797
"insight2impact",2022-05-27,1277
"Observatoire du Numérique en Haïti (ObNH)",2022-05-27,95
"DATA CENTRIC AFRICA",2022-05-27,1169
"Genpact",2022-05-27,1794190
"Boston Consulting Group (BCG)",2022-05-27,3177378
"Accenture Technology",2022-05-27,308461
"DataIQ",2022-05-27,11945
"Data for Good",2022-05-27,8333
"Informatica",2022-05-27,223135
"ProCogia",2022-05-27,6570
"Open Data Science Conference (ODSC)",2022-05-27,125482
"Data For Good",2022-05-27,6849
"PyData Delhi",2022-05-27,1645
"Tableau Events and Webinars",2022-05-27,34516
"The Analytics Institute of Ireland",2022-05-27,5898
"Data2X United Nations Foundation",2022-05-27,2991
"(WiMLDS) Women in Machine Learning & Data Science",2022-05-27,10929
"Two Sigma",2022-05-27,115641
"Idiro Analytics",2022-05-27,4757
"Fisheries Transparency Initiative (FiTI)",2022-05-27,531
"Accenture The Dock",2022-05-27,7681
"IBM Cloud",2022-05-27,197882
"Gapminder Foundation",2022-05-27,13977
"Bloomberg Philanthropies",2022-05-27,54729
"McKinsey Africa",2022-05-27,10620
"CSO (Central Statistics Office Ireland)",2022-05-27,6513
"KerrySciTech",2022-05-27,2592
"Flowminder",2022-05-27,1527
"Africa in Science",2022-05-27,1797
"Code for Cause",2022-05-27,22339
"Open Society Foundations",2022-05-27,168286
"Legato Health Technologies Ireland",2022-05-27,4311
"Noodle.ai",2022-05-27,21380
"JuliaActuary",2022-05-27,688
"Film Analytics",2022-05-27,219
"United Nations Institute for Training and Research (UNITAR)",2022-05-27,257261
"The Collective Impact Group For Guinea",2022-05-27,163
"Tata Consultancy Services",2022-05-27,9576997
"Brightwater",2022-05-27,95792
"Data Science by Data Scientist Canada",2022-05-27,16934
"Bill & Melinda Gates Foundation",2022-05-27,1009908
"Benin ThinkLab",2022-05-27,71
"Ginkgo Management Consulting",2022-05-27,2511
"RapidMiner",2022-05-27,18424
"Numeric Mind",2022-05-27,449
"Danah Tech",2022-05-27,441
"Xava",2022-05-27,74
"R Consortium",2022-05-27,2780
"NIMBADATA",2022-05-27,4
"Data Visualization Society",2022-05-27,102108
"Big Data LDN",2022-05-27,3983
"RSS Data Science and AI Section",2022-05-27,1486
"Global Fishing Watch",2022-05-27,3926
"Women in Machine Learning and Data Science MAURITIUS",2022-05-27,96
"allspatial - Geospatial Software and Services",2022-05-27,15
"Bissau Analytics ",2022-05-27,38
"WorldQuant",2022-05-27,47625
"R-Ladies Saudi Arabia (Dammam)",2022-05-27,268
"Data & Society Research Institute",2022-05-27,6162
"Global Shapers Community - Thimphu Hub",2022-05-27,276
"LSBU Business School ",2022-05-27,1976
"Statistics Globe",2022-05-27,3461
