#Alabama,2020-10-21,1072
#Alaska,2020-10-21,422
#Arizona,2020-10-21,3464
#Arkansas,2020-10-21,292
#California,2020-10-21,4529
#Colorado,2020-10-21,2404
#Connecticut,2020-10-21,352
#Delaware,2020-10-21,469
#Florida,2020-10-21,5268
#Georgia,2020-10-21,3075
#Hawaii,2020-10-21,532
#Idaho,2020-10-21,413
#Illinois,2020-10-21,842
#Indiana,2020-10-21,514
#Iowa,2020-10-21,303
#Kansas,2020-10-21,180
#Kentucky,2020-10-21,372
#Louisiana,2020-10-21,852
#Maine,2020-10-21,358
#Maryland,2020-10-21,411
#Massachusetts,2020-10-21,383
#Michigan,2020-10-21,3201
#Minnesota,2020-10-21,821
#Mississippi,2020-10-21,205
#Missouri,2020-10-21,233
#Montana,2020-10-21,283
#Nebraska,2020-10-21,234
#Nevada,2020-10-21,373
#NewHampshire,2020-10-21,167
#NewJersey,2020-10-21,1671
#NewMexico,2020-10-21,385
#NewYork,2020-10-21,6784
#NorthCarolina,2020-10-21,638
#NorthDakota,2020-10-21,165
#Ohio,2020-10-21,983
#Oklahoma,2020-10-21,629
#Oregon,2020-10-21,574
#Pennsylvania,2020-10-21,420
#RhodeIsland,2020-10-21,214
#SouthCarolina,2020-10-21,405
#SouthDakota,2020-10-21,134
#Tennessee,2020-10-21,409
#Texas,2020-10-21,13023
#Utah,2020-10-21,798
#Vermont,2020-10-21,180
#Virginia,2020-10-21,567
#Washington,2020-10-21,484
#WestVirginia,2020-10-21,217
#Wisconsin,2020-10-21,640
#Wyoming,2020-10-21,245
#LosAngeles,2020-10-21,5614
#Chicago,2020-10-21,11355
#Houston,2020-10-21,9316
#Phoenix,2020-10-21,1649
#Philadelphia,2020-10-21,3561
#SanAntonio,2020-10-21,1979
#SanDiego,2020-10-21,3651
#Dallas,2020-10-21,4987
#SanJose,2020-10-21,341
#Austin,2020-10-21,5107
#Jacksonville,2020-10-21,497
#FortWorth,2020-10-21,365
#Columbus,2020-10-21,562
#Charlotte,2020-10-21,2060
#SanFrancisco,2020-10-21,3022
#Indianapolis,2020-10-21,676
#Seattle,2020-10-21,5834
#Denver,2020-10-21,2217
#Washington,2020-10-21,484
#Boston,2020-10-21,5947
#ElPaso,2020-10-21,433
#Nashville,2020-10-21,2560
#Detroit,2020-10-21,4005
#Oklahoma,2020-10-21,629
#Portland,2020-10-21,616
#LasVegas,2020-10-21,4232
#Memphis,2020-10-21,549
#Louisville,2020-10-21,314
#Baltimore,2020-10-21,553
#Milwaukee,2020-10-21,863
#Albuquerque,2020-10-21,155
#Tucson,2020-10-21,482
#Fresno,2020-10-21,120
#Mesa,2020-10-21,169
#Sacramento,2020-10-21,574
#Atlanta,2020-10-21,7798
#Omaha,2020-10-21,406
#Raleigh,2020-10-21,592
#Miami,2020-10-21,3648
#Oakland,2020-10-21,173
#Minneapolis,2020-10-21,1790
#Tulsa,2020-10-21,392
#Tampa,2020-10-21,1628
#Arlington,2020-10-21,64
#NewOrleans,2020-10-21,455
#Wichita,2020-10-21,177
#Bakersfield,2020-10-21,114
#Cleveland,2020-10-21,910
#Aurora,2020-10-21,283
#Anaheim,2020-10-21,78
#Honolulu,2020-10-21,70
#Cincinnati,2020-10-21,3700
#StLouis,2020-10-21,544
#Pittsburgh,2020-10-21,3340
#Orlando,2020-10-21,2187
#Irvine,2020-10-21,182
#Newark,2020-10-21,130
