"Event","Date","Time","Attendees"
"DataCon Africa: Live 2021",2021-02-25,2021-02-25 10:00:01,261
"DataCon Africa: Live 2021",2021-02-26,2021-02-26 22:01:53,266
"DataCon Africa: Live 2021",2021-02-27,2021-02-27 21:51:52,271
"DataCon Africa: Live 2021",2021-02-28,2021-02-28 18:06:17,272
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-12,2021-02-12 10:27:36,430
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-13,2021-02-13 19:54:45,440
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-14,2021-02-14 01:00:15,443
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-15,2021-02-15 13:33:25,451
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-16,2021-02-16 20:09:05,469
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-17,2021-02-17 09:56:29,472
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-17,2021-02-17 17:31:23,474
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-18,2021-02-18 00:21:10,480
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-18,2021-02-18 23:16:38,487
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-19,2021-02-19 09:03:56,491
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-20,2021-02-20 11:06:33,493
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-21,2021-02-21 14:11:06,499
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-22,2021-02-22 14:34:16,505
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-23,2021-02-23 12:16:37,511
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-24,2021-02-24 18:04:26,516
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-24,2021-02-24 19:35:06,517
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-25,2021-02-25 10:00:01,518
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-25,2021-02-25 15:36:53,519
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-26,2021-02-26 22:01:53,528
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-27,2021-02-27 19:57:01,533
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-02-28,2021-02-28 13:52:43,535
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-03-01,2021-03-01 16:39:50,544
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-03-02,2021-03-02 16:24:00,554
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-03-03,2021-03-03 15:21:47,560
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-03-04,2021-03-04 10:28:27,569
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-03-06,2021-03-06 17:52:33,579
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-03-08,2021-03-08 20:21:46,585
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-03-10,2021-03-10 23:37:41,599
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-03-11,2021-03-11 22:51:15,607
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-03-12,2021-03-12 09:29:15,607
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-03-13,2021-03-13 23:51:26,616
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-03-14,2021-03-14 11:38:24,619
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-03-15,2021-03-15 23:57:03,635
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-03-17,2021-03-17 21:28:26,652
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-03-22,2021-03-22 13:33:08,687
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-03-24,2021-03-24 23:18:06,705
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-03-26,2021-03-26 17:18:54,725
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-03-29,2021-03-29 20:24:53,743
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-03-30,2021-03-30 17:25:29,750
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-03-31,2021-03-31 23:53:46,781
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-03,2021-04-03 23:07:15,826
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-04,2021-04-04 12:31:50,831
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-05,2021-04-05 23:11:24,844
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-06,2021-04-06 23:29:56,868
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-08,2021-04-08 11:42:47,902
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-09,2021-04-09 22:17:13,924
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-10,2021-04-10 22:07:49,935
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-11,2021-04-11 21:24:20,951
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-12,2021-04-12 15:29:26,955
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-13,2021-04-13 17:17:10,980
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-13,2021-04-13 19:26:32,981
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-14,2021-04-14 23:54:55,1008
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-16,2021-04-16 11:46:56,1053
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-17,2021-04-17 21:34:32,1081
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-18,2021-04-18 20:47:49,1099
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-19,2021-04-19 12:34:19,1116
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-19,2021-04-19 12:53:06,1117
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-20,2021-04-20 23:02:42,1156
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-21,2021-04-21 23:39:18,1178
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-22,2021-04-22 15:04:40,1191
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-23,2021-04-23 20:21:17,1232
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-26,2021-04-26 10:42:09,1277
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-28,2021-04-28 22:41:50,1335
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-29,2021-04-29 23:25:03,1353
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-04-30,2021-04-30 22:35:02,1381
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-02,2021-05-02 20:33:27,1409
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-08,2021-05-08 10:00:31,1550
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-09,2021-05-09 12:44:18,1577
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-12,2021-05-12 12:13:24,1664
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-13,2021-05-13 17:44:52,1700
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-14,2021-05-14 19:19:18,1724
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-15,2021-05-15 10:58:33,1745
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-16,2021-05-16 19:14:40,1779
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-17,2021-05-17 09:16:58,1790
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-18,2021-05-18 09:13:07,1828
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-18,2021-05-18 19:12:48,1850
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-19,2021-05-19 20:43:26,1887
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-20,2021-05-20 20:08:10,1916
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-21,2021-05-21 19:03:04,1944
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-22,2021-05-22 10:39:08,1953
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-23,2021-05-23 10:39:56,1980
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-24,2021-05-24 08:34:13,2015
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-25,2021-05-25 10:23:04,2043
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-26,2021-05-26 11:42:58,2086
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-27,2021-05-27 21:09:50,2134
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-28,2021-05-28 20:47:37,2159
"Spotlight Telemedicine International Summit on Innovation & Technology 2021",2021-05-31,2021-05-31 23:00:03,2161
"DataCon Africa: Live 2021",2021-03-01,2021-03-01 17:09:25,274
"DataCon Africa: Live 2021",2021-03-02,2021-03-02 21:49:17,277
"DataCon Africa: Live 2021",2021-03-03,2021-03-03 23:38:17,278
"DataCon Africa: Live 2021",2021-03-06,2021-03-06 00:47:41,286
"DataCon Africa: Live 2021",2021-03-08,2021-03-08 20:53:05,290
"DataCon Africa: Live 2021",2021-03-10,2021-03-10 23:51:25,294
"DataCon Africa: Live 2021",2021-03-11,2021-03-11 22:51:15,295
"DataCon Africa: Live 2021",2021-03-12,2021-03-12 09:29:15,295
"DataCon Africa: Live 2021",2021-03-14,2021-03-14 12:38:14,300
"DataCon Africa: Live 2021",2021-03-15,2021-03-15 23:34:53,303
"DataCon Africa: Live 2021",2021-03-17,2021-03-17 21:28:26,306
"DataCon Africa: Live 2021",2021-03-20,2021-03-20 16:46:06,313
"DataCon Africa: Live 2021",2021-03-22,2021-03-22 11:11:56,314
"DataCon Africa: Live 2021",2021-03-24,2021-03-24 21:45:55,320
"DataCon Africa: Live 2021",2021-03-25,2021-03-25 23:35:24,321
"DataCon Africa: Live 2021",2021-03-26,2021-03-26 14:43:31,322
"DataCon Africa: Live 2021",2021-03-29,2021-03-29 20:24:53,326
"DataCon Africa: Live 2021",2021-03-31,2021-03-31 11:26:16,330
"DataCon Africa: Live 2021",2021-04-01,2021-04-01 19:40:47,334
"DataCon Africa: Live 2021",2021-04-03,2021-04-03 23:07:15,336
"DataCon Africa: Live 2021",2021-04-05,2021-04-05 23:11:24,336
"DataCon Africa: Live 2021",2021-04-07,2021-04-07 15:30:57,339
"DataCon Africa: Live 2021",2021-04-08,2021-04-08 22:22:48,340
"DataCon Africa: Live 2021",2021-04-10,2021-04-10 22:07:49,343
"DataCon Africa: Live 2021",2021-04-11,2021-04-11 21:24:20,343
"DataCon Africa: Live 2021",2021-04-12,2021-04-12 15:29:26,344
"DataCon Africa: Live 2021",2021-04-13,2021-04-13 19:26:32,345
"DataCon Africa: Live 2021",2021-04-14,2021-04-14 23:54:55,350
"DataCon Africa: Live 2021",2021-04-15,2021-04-15 15:16:21,351
"DataCon Africa: Live 2021",2021-04-17,2021-04-17 21:13:38,354
"DataCon Africa: Live 2021",2021-04-18,2021-04-18 11:40:05,354
"DataCon Africa: Live 2021",2021-04-19,2021-04-19 15:33:49,355
"DataCon Africa: Live 2021",2021-04-20,2021-04-20 23:28:56,357
"DataCon Africa: Live 2021",2021-04-21,2021-04-21 23:57:08,358
"DataCon Africa: Live 2021",2021-04-22,2021-04-22 15:04:40,358
"DataCon Africa: Live 2021",2021-04-24,2021-04-24 13:28:41,362
"DataCon Africa: Live 2021",2021-04-26,2021-04-26 15:33:37,364
"DataCon Africa: Live 2021",2021-04-27,2021-04-27 17:24:47,365
"DataCon Africa: Live 2021",2021-04-29,2021-04-29 23:25:03,366
"DataCon Africa: Live 2021",2021-04-30,2021-04-30 22:35:02,366
"DataCon Africa: Live 2021",2021-05-02,2021-05-02 20:33:27,368
"DataCon Africa: Live 2021",2021-05-10,2021-05-10 10:57:40,381
"DataCon Africa: Live 2021",2021-05-12,2021-05-12 12:13:24,383
"DataCon Africa: Live 2021",2021-05-14,2021-05-14 21:55:47,387
"DataCon Africa: Live 2021",2021-05-15,2021-05-15 14:39:09,387
"DataCon Africa: Live 2021",2021-05-16,2021-05-16 19:50:51,387
"DataCon Africa: Live 2021",2021-05-17,2021-05-17 20:47:13,390
"DataCon Africa: Live 2021",2021-05-19,2021-05-19 22:31:48,395
"DataCon Africa: Live 2021",2021-05-20,2021-05-20 20:42:11,396
"DataCon Africa: Live 2021",2021-05-22,2021-05-22 23:34:49,397
"DataCon Africa: Live 2021",2021-05-26,2021-05-26 11:51:18,412
"FTE APEX Virtual Expo 2021 - free to attend",2021-02-25,2021-02-25 14:07:48,412
"FTE APEX Virtual Expo 2021 - free to attend",2021-02-26,2021-02-26 14:00:26,439
"FTE APEX Virtual Expo 2021 - free to attend",2021-02-26,2021-02-26 21:42:19,448
