"","DF","lon","lat"
"196","Caherconlish, Limerick, Ireland",-8.472297,52.5951557
"197","Cahersiveen, Kerry, Ireland",-10.2209047,51.9477992
"198","Cahir, Tipperary South, Ireland",NA,NA
"199","Callan, Kilkenny, Ireland",-7.3920332,52.5448213
"200","Camolin, Wexford, Ireland",-6.4263356,52.6156787
"201","Campile, Wexford, Ireland",-6.9412808,52.2876617
"202","Cappamore, Limerick, Ireland",-8.3368804,52.6152436
"203","Cappawhite, Tipperary South, Ireland",-8.1670499,52.58073
"204","Cappoquin, Waterford, Ireland",-7.8427438,52.1462713
"205","Carlingford, Louth, Ireland",NA,NA
"206","Carlow Town, Carlow, Ireland",-6.9341359,52.8365072
"207","Carndonagh, Donegal, Ireland",-7.2668905,55.2506229
"208","Carnew, Wicklow, Ireland",-6.4992316,52.7096658
"209","Carragh, Kildare, Ireland",-6.7290731,53.2373698
"210","Carraroe, Galway, Ireland",-9.5982671,53.2641084
"211","Carrick-on-Shannon, Leitrim and Roscommon, Ireland",NA,NA
"212","Carrick-on-Suir Town, Tipperary South, Ireland",NA,NA
"213","Carrick, Donegal, Ireland",-8.6327484,54.6577244
"214","Carrickmacross Town, Monaghan, Ireland",-6.7188238,53.9779778
"215","Carrigaline, Cork, Ireland",-8.3914957,51.817905
"216","Carrigallen, Leitrim, Ireland",-7.6443259,53.9769348
"217","Carrigans, Donegal, Ireland",NA,NA
"218","Carrigkerry, Limerick, Ireland",-9.1484838,52.4946971
"219","Carrigtwohill, Cork, Ireland",NA,NA
"220","Carrowkeel, Donegal, Ireland",NA,NA
"221","Cashel Town, Tipperary South, Ireland",NA,NA
"222","Castle Ellis, Wexford, Ireland",-6.61987,52.52144
"223","Castlebar Town, Mayo, Ireland",-9.2879257,53.8550014
"224","Castlebellingham/Kilsaran, Louth, Ireland",-6.3895,53.89811
"225","Castleblayney Town, Monaghan, Ireland",-6.7397374,54.120659
"226","Castlebridge, Wexford, Ireland",-6.4502872,52.3824281
"227","Castlecomer-Donaguile, Kilkenny, Ireland",-7.2095454,52.805467
"228","Castleconnell, Limerick, Ireland",NA,NA
"229","Castledermot, Kildare, Ireland",NA,NA
"230","Castlefin, Donegal, Ireland",-7.5895814,54.802999
"231","Castlegregory, Kerry, Ireland",-10.0207218,52.2534651
"232","Castleisland, Kerry, Ireland",-9.4601492,52.2328974
"233","Castlelyons, Cork, Ireland",-8.2336991,52.0885669
"234","Castlemartyr, Cork, Ireland",-8.0535486,51.9119477
"235","Castlepollard, Westmeath, Ireland",-7.2964508,53.6800722
"236","Castlerea, Roscommon, Ireland",-8.4924537,53.7686571
"237","Castletown, Laois, Ireland",-7.4995604,52.9774693
"238","Castletownbere, Cork, Ireland",-9.9103302,51.6514954
"239","Castletownroche, Cork, Ireland",-8.4634479,52.1731113
"240","Castletownshend, Cork, Ireland",-9.1793869,51.5265757
"241","Causeway, Kerry, Ireland",-9.7330771,52.414422
"242","Cavan Town, Cavan, Ireland",-7.3633319,53.9897186
"243","Ceannanus Mór (formerly Kells) Town, Meath, Ireland",NA,NA
"244","Celbridge, Kildare, Ireland",-6.5384589,53.339897
"245","Charlestown-Bellahy, Mayo and Sligo, Ireland",NA,NA
"246","Cheekpoint, Waterford, Ireland",-7.0036114,52.2685767
"247","Churchbay, Cork, Ireland",-8.28217,51.79577
"248","Clane, Kildare, Ireland",-6.6870404,53.293785
"249","Clara, Offaly, Ireland",NA,NA
"250","Claregalway, Galway, Ireland",NA,NA
"251","Claremorris, Mayo, Ireland",-9.0017356,53.7238764
"252","Clarinbridge, Galway, Ireland",NA,NA
"253","Clashmore, Waterford, Ireland",-7.8188756,52.0093569
"254","Clifden, Galway, Ireland",-10.0202388,53.4891345
"255","Cliffoney, Sligo, Ireland",-8.4534324,54.430559
"256","Clogh-Chatsworth, Kilkenny, Ireland",-7.168148,52.8711156
"257","Cloghan, Offaly, Ireland",-7.53,53.13
"258","Clogheen, Tipperary South, Ireland",-7.9951028,52.2770794
"259","Clogherhead, Louth, Ireland",-6.2388506,53.7916777
"260","Clonakilty Town, Cork, Ireland",-8.9055104,51.6203379
"261","Clonard, Meath, Ireland",-7.0231073,53.4515329
"262","Clonaslee, Laois, Ireland",-7.5243696,53.1486014
"263","Clonbullogue, Offaly, Ireland",-7.05,53.15
"264","Clonee Village, Meath, Ireland",-6.4426,53.4105621
"265","Clonegal, Carlow and Wexford, Ireland",-6.6477303,52.6948009
"266","Clones Town, Monaghan, Ireland",-7.2306671,54.1796829
"267","Clongeen, Wexford, Ireland",-6.7733493,52.2966589
"268","Clonlara, Clare, Ireland",-8.5546236,52.7247118
"269","Clonmany, Donegal, Ireland",-7.4116109,55.2628052
"270","Clonmel Borough, Tipperary South, Ireland",-7.6993901,52.3532758
"271","Clonmellon, Westmeath, Ireland",-7.0183933,53.6640717
"272","Clonroche, Wexford, Ireland",NA,NA
"273","Clontuskert, Roscommon, Ireland",-8.0013458,53.7036046
"274","Cloonboo, Galway, Ireland",-8.6601382,53.5137007
"275","Cloughjordan, Tipperary North, Ireland",-8.0383372,52.9429442
"276","Cloyne, Cork, Ireland",-8.121237,51.8630971
"277","Coachford, Cork, Ireland",-8.7889601,51.909471
"278","Cobh Town, Cork, Ireland",NA,NA
"279","Coill Dubh (or Blackwood), Kildare, Ireland",-6.8170729,53.2938748
"280","Collinstown, Westmeath, Ireland",NA,NA
"281","Collon, Louth, Ireland",-6.4840991,53.7777425
"282","Collooney, Sligo, Ireland",-8.4988292,54.1803292
"283","Cong, Galway and Mayo, Ireland",-9.2834604,53.5416844
"284","Conna, Cork, Ireland",-8.1073545,52.0931079
"285","Convoy, Donegal, Ireland",-7.6654467,54.859725
"286","Coolagary, Offaly, Ireland",-7.1980809,53.2329221
"287","Coolaney, Sligo, Ireland",-8.6008023,54.1738093
"288","Coolgreany, Wexford, Ireland",-6.2360077,52.7647077
"289","Coonagh, Limerick, Ireland",NA,NA
"290","Cootehill, Cavan, Ireland",-7.0823541,54.0725034
"291","Cork City, Cork, Ireland",-8.4863157,51.8968917
"292","Corofin, Clare, Ireland",-9.0640874,52.9448216
"293","Courtmacsherry, Cork, Ireland",-8.7059339,51.6338554
"294","Courtown Harbour, Wexford, Ireland",NA,NA
"295","Cratloe, Clare, Ireland",NA,NA
"296","Craughwell, Galway, Ireland",-8.7347736,53.2302689
"297","Creeslough, Donegal, Ireland",-7.9094676,55.1233497
"298","Crocknamurleog, Donegal, Ireland",-7.8470231,55.1967532
"299","Cromane, Kerry, Ireland",-9.8985347,52.1061221
"300","Crookstown, Cork, Ireland",-8.8304319,51.842427
"301","Croom, Limerick, Ireland",NA,NA
"302","Crosshaven, Cork, Ireland",NA,NA
"303","Crossmolina, Mayo, Ireland",-9.3158456,54.100342
"304","Culdaff, Donegal, Ireland",-7.1651352,55.2859437
"305","D[edit], Ireland",-6.2209259,53.4581754
"306","Daingean, Offaly, Ireland",-7.291967,53.2960818
"307","Danescastle, Wexford, Ireland",-6.7311899,52.2418678
"308","Delvin, Westmeath, Ireland",-7.0917224,53.6125653
"309","Derrinturn, Kildare, Ireland",NA,NA
"310","Dingle, Kerry, Ireland",-10.2640135,52.1409389
"311","Donabate, Fingal, Ireland",-6.1504482,53.4853365
"312","Donard, Wicklow, Ireland",NA,NA
"313","Donegal, Donegal, Ireland",-8.1096143,54.653827
"314","Doneraile, Cork, Ireland",-8.5859774,52.2151735
"315","Donore, Meath, Ireland",-6.4172506,53.6921097
"316","Doon, Limerick, Ireland",NA,NA
"317","Doonbeg, Clare, Ireland",-9.5259951,52.7308501
"318","Drimoleague, Cork, Ireland",-9.2612453,51.6599357
"319","Drogheda Borough, Louth, Ireland",-6.3546726,53.7165706
"320","Droichead Nua (formerly Newbridge), Kildare, Ireland",NA,NA
"321","Dromahair, Leitrim, Ireland",-8.3026235,54.2306704
"322","Dromcolliher, Limerick, Ireland",NA,NA
"323","Dromina, Cork, Ireland",NA,NA
"324","Dromiskin, Louth, Ireland",-6.4010092,53.9217123
"325","Drommahane, Cork, Ireland",-8.6908349,52.1056038
"326","Drumconrath, Meath, Ireland",-6.6563416,53.8515966
"327","Drumkeeran, Leitrim, Ireland",-8.142664,54.169409
"328","Drumlish, Longford, Ireland",NA,NA
"329","Drumshanbo, Leitrim, Ireland",-8.0358416,54.048727
"330","Drumsna, Leitrim, Ireland",-8.0079272,53.9269176
"331","Dublin, Dublin, Ireland",NA,NA
"332","Duleek, Meath, Ireland",-6.4221752,53.6547501
"333","Dunboyne, Meath, Ireland",NA,NA
"334","Duncannon, Wexford, Ireland",-6.9325606,52.2206117
"335","Duncormick, Wexford, Ireland",-6.6550542,52.2285412
"336","Dundalk Town, Louth, Ireland",NA,NA
"337","Dundrum, Tipperary South, Ireland",-8.0432251,52.5595234
"338","Dunfanaghy, Donegal, Ireland",-7.9694369,55.1834711
"339","Dungarvan Town, Waterford, Ireland",-7.6203627,52.0936763
"340","Dungloe, Donegal, Ireland",-8.3573628,54.9502887
"341","Dunkineely, Donegal, Ireland",-8.3570787,54.6320711
"342","Dunlavin, Wicklow, Ireland",-6.7016395,53.0578764
"343","Dunleer, Louth, Ireland",-6.3944559,53.8310533
"344","Dunmanway, Cork, Ireland",NA,NA
"345","Dunmore East, Waterford, Ireland",-6.994804,52.1527666
"346","Dunmore, Galway, Ireland",-8.7441461,53.6180163
"347","Dunshaughlin, Meath, Ireland",-6.5402525,53.5135229
"348","Durrow, Laois, Ireland",NA,NA
"349","Durrus, Cork, Ireland",-9.521993,51.6217112
"350","E[edit], Ireland",-6.2209259,53.4581754
"351","Easky, Sligo, Ireland",NA,NA
"352","Edenderry, Offaly, Ireland",-7.0505832,53.3432843
"353","Elphin, Roscommon, Ireland",-8.1978488,53.8522697
"354","Emly, Tipperary South, Ireland",-8.3512916,52.4639181
"355","Emo, Laois, Ireland",-7.208535,53.097203
"356","Emyvale, Monaghan, Ireland",-6.9592611,54.3409914
"357","Enfield, Meath, Ireland",-6.8296541,53.4142026
"358","Ennis Town, Clare, Ireland",-8.9887384,52.8474255
"359","Enniscorthy Town, Wexford, Ireland",NA,NA
"360","Enniskerry, Wicklow, Ireland",-6.1707299,53.1935037
"361","Ennistymon, Clare, Ireland",-9.2934951,52.940372
"362","Eyrecourt, Galway, Ireland",-8.131427,53.1997171
"363","F[edit], Ireland",NA,NA
"364","Fahan, Donegal, Ireland",NA,NA
"365","Falcarragh (or Cross Roads), Donegal, Ireland",NA,NA
"366","Farran, Cork, Ireland",-8.7204343,51.8733225
"367","Feakle, Clare, Ireland",-8.6486521,52.9260682
"368","Fenit, Kerry, Ireland",-9.8612114,52.2784045
"369","Ferbane, Offaly, Ireland",-7.8278719,53.27195
"370","Fermoy Town, Cork, Ireland",-8.2812256,52.1372719
"371","Ferns, Wexford, Ireland",-6.4980105,52.5909249
"372","Fethard-on-Sea, Wexford, Ireland",-6.8402182,52.1923021
"373","Fethard, Tipperary South, Ireland",-7.6927334,52.4659436
"374","Ford, Wexford, Ireland",-6.454469,52.351292
"375","Fountainstown, Cork, Ireland",NA,NA
"376","Foxford, Mayo, Ireland",NA,NA
"377","Foynes, Limerick, Ireland",NA,NA
"378","Frenchpark, Roscommon, Ireland",-8.4074281,53.8695107
"379","Freshford, Kilkenny, Ireland",-7.3968551,52.7325047
"380","Furbogh, Galway, Ireland",-9.12,53.15
"381","G[edit], Ireland",-6.2209259,53.4581754
"382","Galbally, Limerick, Ireland",-8.2961252,52.4012269
"383","Galway City, Galway, Ireland",-9.0567905,53.270668
"384","Garristown, Fingal, Ireland",-6.3835624,53.5668673
"385","Geashill, Offaly, Ireland",-7.3209776,53.2352224
"386","Glanworth, Cork, Ireland",-8.3567368,52.1866296
"387","Glassan, Westmeath, Ireland",-7.8639073,53.4699107
"388","Glasslough, Monaghan, Ireland",-6.8971168,54.3172784
"389","Glen, Limerick, Ireland",-8.6306669,52.661149
"390","Glenamaddy, Galway, Ireland",NA,NA
"391","Glenbeigh, Kerry, Ireland",-9.9403477,52.0561861
"392","Glencolumbkille, Donegal, Ireland",NA,NA
"393","Glencullen, Dún Laoghaire–Rathdown, Dublin, Ireland",NA,NA
"394","Glenealy, Wicklow, Ireland",-6.1445729,52.9666341
"395","Glenties, Donegal, Ireland",-8.2830316,54.7971669
"396","Glin, Limerick, Ireland",-9.284973,52.5719106
"397","Gneevgullia, Kerry, Ireland",-9.2719471,52.1166851
"398","Golden, Tipperary South, Ireland",-7.9807495,52.4984411
"399","Goresbridge, Kilkenny, Ireland",-6.9926557,52.6300281
"400","Gorey, Wexford, Ireland",NA,NA
"401","Gormanston, Meath, Ireland",-6.2342708,53.637306
"402","Gort, Galway, Ireland",-8.8187485,53.0666432
"403","Gortahork, Donegal, Ireland",-8.1332033,55.1200955
"404","Gortnahoo, Tipperary South, Ireland",NA,NA
"405","Gowran, Kilkenny, Ireland",NA,NA
"406","Grahormac, Wexford, Ireland",NA,NA
"407","Graiguenamanagh- Tinnahinch, Carlow and Kilkenny, Ireland",NA,NA
"408","Granard, Longford, Ireland",NA,NA
"409","Grange, Sligo, Ireland",-8.531207,54.39774
"410","Grangemore, Kildare, Ireland",-6.7132364,53.1176426
"411","Greencastle, Donegal, Ireland",-6.9875478,55.203361
"412","Greystones, Wicklow, Ireland",-6.0793414,53.1491175
"413","Gurteen, Sligo, Ireland",-8.5223607,53.9958153
"414","H[edit], Ireland",NA,NA
"415","Hacketstown, Carlow, Ireland",-6.5586053,52.8653857
"416","Headford, Galway, Ireland",-9.106134,53.4694617
"417","Holycross, Tipperary North, and Tipperary South, Ireland",-7.8701794,52.6397686
"418","Hospital, Limerick, Ireland",NA,NA
"419","I[edit], Ireland",-6.2209259,53.4581754
"420","Inchigeelagh, Cork, Ireland",-9.1264323,51.8424464
"421","Inistioge, Kilkenny, Ireland",-7.06512,52.4875393
"422","Inniscrone, Sligo, Ireland",-9.0908352,54.2136818
"423","Innishannon, Cork, Ireland",-8.6565357,51.7646154
"424","Inniskeen, Monaghan, Ireland",NA,NA
"425","J[edit], Ireland",NA,NA
"426","Jenkinstown, Louth, Ireland",-6.3103519,54.0160556
"427","Johnstown, Kildare, Ireland",-6.6217975,53.2370579
"428","Johnstown, Kilkenny, Ireland",NA,NA
"429","Julianstown/Whitecross, Meath, Ireland",-6.2779141,53.668188
"430","K[edit], Ireland",NA,NA
"431","Kanturk, Cork, Ireland",-8.9051669,52.1772549
"432","Keadew, Roscommon, Ireland",-8.1377558,54.0511423
"433","Keel-Dooagh, Mayo, Ireland",-10.0778562,53.9752452
"434","Keenagh, Longford, Ireland",-7.8147206,53.622007
"435","Kells, Kilkenny, Ireland",-7.105,52.325
"436","Kenmare, Kerry, Ireland",-9.5835203,51.8801017
"437","Kentstown, Meath, Ireland",-6.5333411,53.6275364
"438","Kernanstown, Carlow, Ireland",-6.8860186,52.8362809
"439","Kilbeggan, Westmeath, Ireland",-7.4944858,53.365076
"440","Kilberry, Kildare, Ireland",-7.016987,53.0311398
"441","Kilcar, Donegal, Ireland",-8.5894621,54.6323944
"442","Kilcloon, Meath, Ireland",-6.58392,53.42723
"443","Kilcock, Kildare, Ireland",-6.6681233,53.3994266
"444","Kilcoole, Wicklow, Ireland",-6.0645861,53.1062723
"445","Kilcormac (or Frankford), Offaly, Ireland",-7.7273944,53.1764189
"446","Kilcullen, Kildare, Ireland",-6.7452791,53.1302865
"447","Kildalkey, Meath, Ireland",-6.9060291,53.5714499
"448","Kildare, Kildare, Ireland",-6.9095683,53.1589342
"449","Kildorrery, Cork, Ireland",-8.4273898,52.2464986
"450","Kildrum, Donegal, Ireland",-7.4169364,54.9809877
"451","Kildysart, Clare, Ireland",-9.1042389,52.6715722
"452","Kilfenora, Clare, Ireland",-9.218327,52.9899429
"453","Kilfinane, Limerick, Ireland",-8.4672787,52.3586898
