Name,Date,Followers,Likes
Sean Haughey,2021-01-26,5222,5118
Sean O Fearghail,2021-01-26,4769,4633
Sean Sherlock,2021-01-26,6656,6308
Simon Coveney,2021-01-26,14914,14091
Simon Harris,2021-01-26,34346,31715
Sorca Clarke,2021-01-26,3890,3738
Stephen Donnelly,2021-01-26,10586,10299
Steven Matthews,2021-01-26,1653,1487
Thomas Byrne,2021-01-26,4889,4758
Thomas Gould,2021-01-26,6530,6208
Thomas Pringle,2021-01-26,5669,5513
Verona Murphy,2021-01-26,12762,12193
Violet-Anne Wynne,2021-01-26,3053,2917
Willie O'Dea,2021-01-26,6122,5931
