"Name","Date","Likes","Followers"
"Aengus O Snodaigh",2021-09-21,8683,8898
"Aengus O Snodaigh",2021-10-12,8670,8893
"AFA Ireland",2021-09-22,17351,18126
"AFA Ireland",2021-10-12,17336,18126
"AIA Ireland",2021-09-22,1177,1231
"AIA Ireland",2021-10-12,1209,1267
"Aidan Davitt",2021-09-21,2355,2377
"Aidan Davitt",2021-10-12,2353,2375
"Aindrias Moynihan",2021-09-21,2216,2320
"Aindrias Moynihan",2021-10-12,2219,2324
"Alan Dillon",2021-09-22,5706,6140
"Alan Dillon",2021-10-12,5708,6164
"Alan Farrell",2021-09-22,1499,1618
"Alan Farrell",2021-10-12,1503,1624
"Alan Kelly",2021-09-22,8881,9153
"Alan Kelly",2021-10-12,8883,9159
"Alice-Mary Higgins",2021-09-22,2260,2324
"Alice-Mary Higgins",2021-10-12,2258,2321
"Alice Mary Higgins",2021-09-29,2260,2323
"Andrea Dalton",2021-09-21,3701,3876
"Andrea Dalton",2021-10-12,3702,3880
"Anita Mhic Gib Aontu",2021-09-29,509,566
"Anna Daly Aontu",2021-09-22,502,544
"Anna Daly Aontu",2021-10-08,504,546
"Anne Rabbitte",2021-09-22,6203,6856
"Anne Rabbitte",2021-10-12,6234,6940
"Annie Hoey",2021-09-22,1416,1578
"Annie Hoey",2021-10-12,1420,1586
"Anthony Lawlor",2021-09-22,2364,2362
"Anthony Lawlor",2021-10-12,2364,2362
"Anti-Austerity Anti-Corruption Ireland",2021-09-22,618,627
"Anti-Austerity Anti-Corruption Ireland",2021-10-12,618,627
"Anti-Corruption Ireland",2021-09-22,5890,8794
"Anti-Corruption Ireland",2021-10-12,5884,8778
"Anti-Corruption Ireland Party",2021-09-18,1405,1478
"Anti-Corruption Ireland Party",2021-10-12,1403,1476
"Anti-Eviction Taskforce",2021-09-07,19971,20722
"Anti-Eviction Taskforce",2021-09-29,19957,20704
"Anti-Eviction Taskforce Clare",2021-09-18,1071,1103
"Anti-Eviction Taskforce Clare",2021-10-12,1072,1104
"Anti-Eviction Taskforce Donegal",2021-09-18,1448,1474
"Anti-Eviction Taskforce Donegal",2021-10-12,1460,1487
"Anti-Globalism Ireland",2021-09-18,500,503
"Anti-Globalism Ireland",2021-10-12,497,501
"Anti Eviction Taskforce",2021-09-18,19967,20714
"Anti Eviction Taskforce",2021-10-12,19953,20700
"Anti Eviction Taskforce Cork",2021-09-22,1179,1209
"Anti Eviction Taskforce Cork",2021-10-12,1176,1207
"Anti Eviction Taskforce Galway",2021-09-18,1376,1409
"Anti Eviction Taskforce Galway",2021-10-12,1374,1407
"Anti Eviction Taskforce Waterford & Wexford",2021-09-18,1260,1289
"Anti Eviction Taskforce Waterford & Wexford",2021-10-12,1263,1292
"Anti Imperialist Action Ireland",2021-09-29,NA,NA
"Anti Imperialist Action Ireland",2021-10-15,NA,NA
"Antifa Watch Ireland",2021-09-22,1215,1255
"Antifa Watch Ireland",2021-10-12,1216,1257
"Aodhan O Riordain",2021-09-08,20196,20882
"Aodhan O Riordain",2021-10-12,20173,20864
"Aontu",2021-09-18,12914,13569
"Aontu",2021-10-08,12929,13583
"Aontu Aontroim",2021-09-18,507,549
"Aontu Aontroim",2021-10-12,510,552
"Aontu Cill Dara",2021-09-18,509,541
"Aontu Cill Dara",2021-10-12,508,540
"Aontu Connacht",2021-09-18,835,891
"Aontu Connacht",2021-10-08,839,895
"Aontu Cork",2021-09-07,1923,2031
"Aontu Cork",2021-09-18,1924,2031
"Aontu Cork",2021-10-08,1930,2036
"Aontu Donegal",2021-09-07,1011,1072
"Aontu Donegal",2021-09-29,1010,1071
"Aontu Donegal",2021-10-15,1011,1073
"Aontu Laois",2021-09-07,511,557
"Aontu Laois",2021-09-29,514,560
"Aontu Laois",2021-10-15,513,560
"Aontu Limerick",2021-09-18,3144,3265
"Aontu Limerick",2021-10-12,3183,3310
"Aontu Loch Garman",2021-09-07,975,1011
"Aontu Loch Garman",2021-09-29,974,1009
"Aontu Loch Garman",2021-10-15,974,1009
